[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000784s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000901s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000554s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000633s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000379s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000465s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007959s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008114s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000402s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000508s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000245s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000552s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001943s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000420s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000499s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001202s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001389s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000849s ]
[ 2012-05-13T14:33:24+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000980s ]
[ 2012-05-13T14:33:47+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:33:47+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run CheckRoute Behavior [ RunTime:0.000779s ]
[ 2012-05-13T14:33:47+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ route_check ] --END-- [ RunTime:0.000896s ]
[ 2012-05-13T14:33:47+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:33:47+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000555s ]
[ 2012-05-13T14:33:47+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000641s ]
[ 2012-05-13T14:34:10+08:00 ] /SiaWeb/admin.php/Index/index/ | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:34:10+08:00 ] /SiaWeb/admin.php/Index/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000955s ]
