[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001324s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000949s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001108s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000912s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001051s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 6 行.
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 35 行.
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 37 行.
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.013669s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013772s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000468s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000676s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000343s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000809s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002547s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000632s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000739s ]
[ 2012-05-17T08:37:26+08:00 ] /xxx/admin.php/Common/verify/random/0.7983679259195924 | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:42:41+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-05-17T08:42:41+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000910s ]
[ 2012-05-17T08:42:41+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001029s ]
[ 2012-05-17T08:42:41+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
